OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01592700,"PATUXENT RIVER AT JERICHO PARK, MD",Stream,,02060006,,,,,39.03483189000000,-76.7516360900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01592750,"PATUXENT RIVER NEAR CONOWAYS, MD",Stream,,02060006,,,,,39.01038787000000,-76.7360798000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594441,PATUXENT R AT GOV BRIDGE NATURAL AREA NR BOWIE MD,Stream,,02060006,,,,,38.94683330000000,-76.6948888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,19,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594445,"MILL BRANCH NEAR MITCHELLVILLE, MD",Stream,,02060006,1.19,sq mi,,,38.92900075000000,-76.7171898000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594450,"PATUXENT RIVER AT HARDESTY, MD",Stream,,02060006,,,,,38.89511287000000,-76.6763546000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594485,"WESTERN BRANCH NEAR KOLBES CORNER, MD",Stream,,02060006,,,,,38.91900060000000,-76.8171930000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594490,"NORTHEAST BRANCH NEAR BOWIE, MD",Stream,,02060006,7.74,sq mi,,,38.90094549000000,-76.7927477900000,2400,1,seconds,Interpolated from MAP.,NAD83,70,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594500,"WESTERN BRANCH NEAR LARGO, MD",Stream,,02060006,30.20,sq mi,,,38.87622375000000,-76.7980257000000,,1,seconds,Interpolated from MAP.,NAD83,46.50,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594515,"WESTERN BRANCH NEAR UPPER MARLBORO, MD",Stream,,02060006,,,,,38.83289138000000,-76.7655247000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594518,"COLLINGTON BRANCH NEAR LEELAND, MD",Stream,,02060006,,,,,38.90205676000000,-76.7346903900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
